ID,CPUtime,Nfaces,Nnodes,errorFlag,meshVolume,relativeVolume,surfaceArea,relativeArea,rmsMC,rmsGC,thickness,poreDiameter,thicknessAM,areaVar,areaMean,areaStd,areaMin,areaMax,elastic,poisson,shear,totalStiffness,zenerRatio,equation,type,v1,v2,voxelSize,Lx,Ly,Lz
1,2.8619054,7648,4086,0,-766.573745274677,0.248592592592593,2454.30808922391,0.454501498004428,0,0,9.165152,18.54724,5.112174,299.812903225807,240.709677419355,17.3151062146845,216,282,NaN,NaN,NaN,NaN,NaN,"Gyroid",network,0.766337421875,0,1,30,30,30
2,0.5990948,5792,3192,0,-8586.67218531391,0.252148148148148,1815.0034055109,0.336111741761277,0,0,10,31.17691,7.67384,37724.1806451613,271.225806451613,194.227136737278,32,564,NaN,NaN,NaN,NaN,NaN,"Primitive",network,0.866820312500001,0,1,30,30,30
3,0.4392152,6272,3216,0,-6653.53504670652,0.711851851851852,1914.14612881012,0.354471505335208,0,0,15.09967,22,14.01475,36212.9892473118,706.451612903226,190.297107826976,388,924,NaN,NaN,NaN,NaN,NaN,"@(x,y,z)(cos(2*pi*x)+cos(2*pi*y)+cos(2*pi*z)-0.9850857963678311)",network,0.25,0,1,30,30,30
4,0.3539418,6272,3216,0,-6653.53504670652,0.711851851851852,1914.14612881012,0.354471505335208,0,0,15.09967,22,14.01475,36212.9892473118,706.451612903226,190.297107826976,388,924,NaN,NaN,NaN,NaN,NaN,"@(x,y,z)(cos(2*pi*x)+cos(2*pi*y)+cos(2*pi*z)-0.9850857963678311)",network,0.25,0,1,30,30,30
5,0.614572,6272,3216,0,-6653.53504670652,0.711851851851852,1914.14612881012,0.354471505335208,0,0,15.09967,22,14.01475,36212.9892473118,706.451612903226,190.297107826976,388,924,NaN,NaN,NaN,NaN,NaN,"@(x,y,z)(cos(2*pi*x)+cos(2*pi*y)+cos(2*pi*z)-0.9850857963678311)",network,0.25,0,1,30,30,30
6,0.364532,0,0,0,NaN,0,NaN,NaN,NaN,NaN,0,4,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,"@(x,y,z)(cos(2*pi*x)+cos(2*pi*y)+cos(2*pi*z)-0.9850857963678311)",network,0.25,0,1,30,30,30
7,0.2760665,6272,3216,0,-6653.53504670652,0.711851851851852,1914.14612881012,0.354471505335208,0,0,15.09967,22,14.01475,36212.9892473118,706.451612903226,190.297107826976,388,924,NaN,NaN,NaN,NaN,NaN,"@(x,y,z)(cos(2*pi*x)+cos(2*pi*y)+cos(2*pi*z)-0.9850857963678311)",network,0.25,0,1,30,30,30
8,0.2634411,6272,3216,0,-6653.53504670652,0.711851851851852,1914.14612881012,0.354471505335208,0,0,15.09967,22,14.01475,36212.9892473118,706.451612903226,190.297107826976,388,924,NaN,NaN,NaN,NaN,NaN,"@(x,y,z)(cos(2*pi*x)+cos(2*pi*y)+cos(2*pi*z)-0.9850857963678311)",network,0.25,0,1,30,30,30
9,0.2547813,6272,3216,0,-6653.53504670652,0.711851851851852,1914.14612881012,0.354471505335208,0,0,15.09967,22,14.01475,36212.9892473118,706.451612903226,190.297107826976,388,924,NaN,NaN,NaN,NaN,NaN,"@(x,y,z)(cos(2*pi*x)+cos(2*pi*y)+cos(2*pi*z)-0.9850857963678311)",network,0.25,0,1,30,30,30
10,0.2710522,13072,6768,0,532.388708025347,0.0728888888888889,4093.81937835039,0.758114699694516,0,0,2,23.15167,1.155756,552.498924731183,66.9677419354839,23.5052956741919,36,124,NaN,NaN,NaN,NaN,NaN,"@(x,y,z)(cos(2*pi*x)+cos(2*pi*y)+cos(2*pi*z)-0.9850857963678311)",surface,0.375,0.625,1,30,30,30
