d_param,porosity_Schwarz_p,porosity_Gyroid
-0.9850857963678311,0.7966015689798916,0.8067675507064093
-0.8343366615126921,0.7771466611653515,0.8311745554478613
-0.602925211425586,0.7596816566346682,0.8597057075572289
-0.35709910913454423,0.7305331398219569,0.8874772457654722
-0.35088529180876293,0.7303992228874115,0.8879308997064143
-0.2623206879754544,0.7074796092705641,0.8967083671120025
-0.08615109294964762,0.6811776087328972,0.9958673101090609
0.18464827439927678,0.6678446850601187,0.9893618237568852
0.4294859077816455,0.6894643371806497,0.989704485737428
0.44617777626215216,0.6853880041298247,0.9926712846031019
0.465394608817425,0.6901169368666168,0.9917984900228716
0.583935658785212,0.6716186087703235,0.9848277993633552
0.6425499439208111,0.6641041950447361,0.9756546766585104
0.7132291852184753,0.6705497241717165,0.9749051830787189
0.7213150183216164,0.666063675835873,0.9803575029108431
0.7784261431370918,0.6733950600980956,0.9754378092875391
0.8677782656328097,0.6803108819780369,0.9799372695204531
0.873779300317322,0.6711111347615506,0.980479661178222
0.953246239519624,0.686131063506277,0.9956057454846639
0.9595609819109678,0.686816953802124,0.996571275660434
